Part Number,Description,UOM,List Price,Net Price,Category,Manufacturer Part,Notes,Net Before Tariff
10SSTII48,"SuperScan II, 48"""" Length 1 each Primary and Secondary",EA,701.94,333.32,,,,314.46
10SSTIICUSTOM,"SuperScan II, Custom Length 1 Each Primary and Secondary",EA,746.63,354.11,,,,334.07
10SSTIII,"SuperScan III, 1 Primary, 2 Secondary",EA,1020.3,483.57,,,,456.2
10SSTIIICUSTOM,"SuperScan III, Custom Length, 1 Primary, 2 Secondary",EA,1036.9,491.21,,,,463.4
10SSTIVCUSTOM,"SuperScan IV,1 Primary,3 SecondaryCustom Length",EA,1305.69,617.49,,,,582.53
10SSTPRIMARY,"Primary Module Only, SuperScan",EA,341.98,162.18,,,,153.0
10SSTSECONDARY,"Secondary Module Only,SuperScan",EA,251.71,141.54,,,,133.53
10STRIKECU,"Electric Strike, Cylindrical Universal, Low Profile",EA,324.14,154.46,,,,145.72
10STRIKECUV,"Electric Strike Cylindrical Universal, V",EA,285.42,131.41,,,,123.97
10STRIKERE,Electric Strike For Rim Exit Devices,EA,686.47,326.86,,,,308.36
10STRIKEREV12,10STRIKEREV12 RIM EXIT VALUE LINE,EA,609.55,281.85,,,,265.9
10STRIKEREV34,10STRIKEREV34 RIM EXIT VALUE LINE,EA,607.55,280.79,,,,264.9
10SWITCH1076,"Door Position Switch, 3/4"""" Dia 3/4"""" Gap, SPDT, Bullet style",EA,52.56,29.04,,,,27.39
10SWITCH1084,"Switch, Surface Mount SPDT, 2"""" Gap, Grey",EA,16.61,8.95,,,,8.44
10SWITCH1277,"Door Position Switch, 3/8"""" Dia 1/2"""" Gap, SPDT, Bullet style",EA,34.58,18.99,,,,17.92
10SWITCH75,"Miniature 3/8"""" Recessed Switch Set, Open/Closed, SPDT",EA,16.61,8.95,,,,8.44
10T300HH,"Xmitter,300 MHz,Hand Held With Case and Mounting Clip",EA,131.01,63.65,,,,60.04
10T300HH4,"Transmitter, 300MHz, 4button Hand Held with Case and Clip",EA,131.01,63.65,,,,60.04
10T300HHDBL,"Xmitter,300 Mhz Dual Hand Held",EA,125.39,61.25,,,,57.79
10T300KEYCHAIN,"Xmitter,300 MHz Keychain",EA,131.01,63.65,,,,60.04
10T300MINIPB,"Xmitter,300 MHz Mini/Flag Conn",EA,131.01,63.65,,,,60.04
10T300PB,"Xmitter,300 MHz with Flag Conn",EA,127.53,62.97,,,,59.4
10TD433HH1,"Transmitter, 433mhz, 1 button",EA,69.42,32.75,,,,30.89
10TD433HH2,"Transmitter, 433mhz, 2 button",EA,89.64,42.31,,,,39.92
10TD433HH3,"Transmitter, 433mhz, 3 button",EA,93.01,43.51,,,,41.04
10TD433HH4,"Transmitter, 433mhz, 4 button",EA,95.26,44.7,,,,42.17
10TD433PB3V,"Transmitter, 433mhz, digital Flag Connectors, 3V Battery",EA,69.42,32.75,,,,30.89
10TD433PB9V,"Transmitter, 433 Mhz Digital, PB with flag connectors",EA,71.42,33.81,,,,31.89
10TD900HH1,"Transmitter, 900mhz, 1 button",EA,84.9,39.78,,,,37.53
